gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,high school,free/reduced,completed,72,67,65
male,group D,some high school,standard,none,55,47,44
male,group D,bachelor's degree,free/reduced,none,68,68,67
male,group C,some college,standard,none,66,59,52
male,group D,associate's degree,standard,none,80,75,69
male,group D,associate's degree,standard,completed,67,54,63
male,group A,some college,standard,none,69,67,69
male,group C,some high school,standard,none,73,66,63
male,group C,high school,free/reduced,none,59,53,52
male,group D,some college,standard,completed,58,59,58
male,group B,some college,free/reduced,completed,74,77,76
male,group C,bachelor's degree,standard,completed,71,74,68
male,group B,bachelor's degree,free/reduced,none,55,59,54
male,group D,high school,free/reduced,none,44,51,48
male,group C,high school,standard,completed,53,52,49
male,group D,bachelor's degree,standard,none,80,73,72
male,group E,some high school,standard,none,82,67,61
male,group D,some college,standard,completed,76,83,79
male,group E,some college,standard,none,66,57,52
male,group D,some high school,standard,none,73,66,62
male,group C,associate's degree,free/reduced,completed,60,51,56
male,group B,associate's degree,free/reduced,completed,69,70,63
male,group D,associate's degree,standard,none,80,75,77
male,group C,associate's degree,free/reduced,none,49,51,51
male,group C,associate's degree,free/reduced,none,68,65,61
male,group E,associate's degree,standard,completed,97,82,88
male,group A,some high school,standard,none,51,31,36
male,group E,bachelor's degree,standard,completed,85,66,71
male,group B,high school,standard,none,57,48,51
male,group C,high school,standard,completed,86,81,80
male,group D,some college,standard,none,44,54,53
male,group C,high school,free/reduced,none,54,72,59
male,group E,bachelor's degree,standard,none,82,62,62
male,group C,bachelor's degree,standard,completed,96,90,92
male,group D,some college,standard,none,71,49,52
male,group E,some high school,standard,none,94,88,78
male,group C,some college,free/reduced,none,35,28,27
male,group B,some college,standard,none,58,50,45
male,group E,some college,standard,none,84,77,71
male,group A,associate's degree,free/reduced,completed,40,55,53
male,group D,high school,standard,none,53,52,42
male,group C,bachelor's degree,free/reduced,completed,70,75,74
male,group D,bachelor's degree,standard,none,75,73,74
male,group E,some high school,standard,completed,89,84,77
male,group E,some college,standard,none,68,72,65
male,group B,some college,standard,none,66,65,60
male,group D,bachelor's degree,free/reduced,none,63,66,67
male,group B,bachelor's degree,free/reduced,completed,87,90,88
male,group D,some high school,standard,completed,77,68,69
male,group D,bachelor's degree,free/reduced,completed,39,42,38
male,group B,high school,free/reduced,none,30,24,15
male,group C,some high school,standard,completed,76,80,73
male,group E,associate's degree,standard,completed,62,61,58
male,group D,bachelor's degree,standard,none,88,78,83
male,group C,associate's degree,free/reduced,completed,65,73,68
male,group B,bachelor's degree,free/reduced,none,73,56,57
male,group D,some high school,free/reduced,none,45,37,37
male,group A,some college,standard,completed,78,72,70
male,group C,high school,standard,none,62,55,49
male,group E,high school,standard,none,73,64,57
male,group C,associate's degree,free/reduced,none,58,55,53
male,group D,some college,standard,completed,77,62,62
male,group C,high school,standard,none,70,56,51
male,group E,high school,standard,none,84,73,69
